time,router,average_response_ms,percent_packet_loss,count,state_ok,cpu_percent,mem_percent,fault_ping,fault_ospf,fault_bgp,fault_cpu,fault_mem,fault
2026-07-16 12:26:00,HO-Chennai,0.12633333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:26:00,ZO-Bengaluru,0.13366666666666668,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:26:00,BR-Koramangala,0.123,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:26:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:27:00,HO-Chennai,0.12616666666666668,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:27:00,ZO-Bengaluru,0.118,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:27:00,BR-Koramangala,0.11133333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:27:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:28:00,HO-Chennai,0.09733333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:28:00,ZO-Bengaluru,0.11983333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:28:00,BR-Koramangala,0.11783333333333335,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:28:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:29:00,HO-Chennai,0.1025,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:29:00,ZO-Bengaluru,0.11083333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:29:00,BR-Koramangala,0.09300000000000001,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:29:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:30:00,HO-Chennai,0.10099999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:30:00,ZO-Bengaluru,0.11566666666666668,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:30:00,BR-Koramangala,0.09549999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:30:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:31:00,HO-Chennai,0.10766666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:31:00,ZO-Bengaluru,0.10216666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:31:00,BR-Koramangala,0.11683333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:31:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:32:00,HO-Chennai,0.08783333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:32:00,ZO-Bengaluru,0.09999999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:32:00,BR-Koramangala,0.13449999999999998,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:32:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:33:00,HO-Chennai,0.12116666666666666,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:33:00,ZO-Bengaluru,0.10516666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:33:00,BR-Koramangala,0.09866666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:33:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:34:00,HO-Chennai,0.5505,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:34:00,ZO-Bengaluru,0.09733333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:34:00,BR-Koramangala,0.10833333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:34:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:35:00,HO-Chennai,0.08833333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:35:00,ZO-Bengaluru,0.08083333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:35:00,BR-Koramangala,0.09999999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:35:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:36:00,HO-Chennai,0.06883333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:36:00,ZO-Bengaluru,0.07533333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:36:00,BR-Koramangala,0.085,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:36:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:37:00,HO-Chennai,0.11433333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:37:00,ZO-Bengaluru,0.09899999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:37:00,BR-Koramangala,0.10383333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:37:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:38:00,HO-Chennai,0.10983333333333334,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:38:00,ZO-Bengaluru,0.10233333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:38:00,BR-Koramangala,0.11299999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:38:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:39:00,HO-Chennai,0.11149999999999999,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:39:00,ZO-Bengaluru,0.09766666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:39:00,BR-Koramangala,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:39:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:40:00,HO-Chennai,0.08183333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:40:00,ZO-Bengaluru,0.08516666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:40:00,BR-Koramangala,0.08600000000000001,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:40:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:41:00,HO-Chennai,0.08166666666666667,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:41:00,ZO-Bengaluru,0.0825,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:41:00,BR-Koramangala,0.07383333333333333,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2026-07-16 12:41:00,BR-Whitefield,0.0,100.0,0.0,1.0,0.0,0.0,1,0,0,0,0,1
2026-07-16 12:42:00,HO-Chennai,0.07666666666666666,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
