time,url,average_response_ms,percent_packet_loss,packets_transmitted,packets_received,router,metric_type
2026-07-24 13:03:52+00:00,172.20.20.4,0.091,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:03:52+00:00,172.20.20.5,0.11,0,3,3,BR-Koramangala,path_health
2026-07-24 13:03:53+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:02+00:00,172.20.20.5,0.129,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:02+00:00,172.20.20.4,0.117,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:02+00:00,172.20.20.3,0.122,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:03+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:12+00:00,172.20.20.3,0.118,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:12+00:00,172.20.20.4,0.112,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:12+00:00,172.20.20.5,0.116,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:13+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:22+00:00,172.20.20.5,0.114,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:22+00:00,172.20.20.4,0.088,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:22+00:00,172.20.20.3,0.106,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:23+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:32+00:00,172.20.20.3,0.105,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:32+00:00,172.20.20.4,0.101,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:32+00:00,172.20.20.5,0.105,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:33+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:42+00:00,172.20.20.5,0.144,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:42+00:00,172.20.20.4,0.11,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:42+00:00,172.20.20.3,0.101,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:43+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:04:52+00:00,172.20.20.3,0.149,0,3,3,HO-Chennai,path_health
2026-07-24 13:04:52+00:00,172.20.20.4,0.088,0,3,3,ZO-Bengaluru,path_health
2026-07-24 13:04:52+00:00,172.20.20.5,0.159,0,3,3,BR-Koramangala,path_health
2026-07-24 13:04:53+00:00,172.20.20.7,,100,4,0,BR-Whitefield,path_health
2026-07-24 13:05:02+00:00,172.20.20.5,0.167,0,3,3,BR-Koramangala,path_health
2026-07-24 13:05:02+00:00,172.20.20.4,0.131,0,3,3,ZO-Bengaluru,path_health
