time,router,count,metric_type
2026-07-23 14:35:30+00:00,br-whitefield,0,routing
2026-07-23 14:35:30+00:00,ho-chennai,0,routing
2026-07-23 14:35:30+00:00,br-koramangala,0,routing
2026-07-23 14:35:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:36:00+00:00,br-koramangala,0,routing
2026-07-23 14:36:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:36:00+00:00,br-whitefield,0,routing
2026-07-23 14:36:00+00:00,ho-chennai,0,routing
2026-07-23 14:36:30+00:00,br-whitefield,0,routing
2026-07-23 14:36:30+00:00,ho-chennai,0,routing
2026-07-23 14:36:30+00:00,br-koramangala,0,routing
2026-07-23 14:36:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:37:00+00:00,br-koramangala,0,routing
2026-07-23 14:37:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:37:00+00:00,br-whitefield,0,routing
2026-07-23 14:37:00+00:00,ho-chennai,0,routing
2026-07-23 14:37:30+00:00,br-whitefield,0,routing
2026-07-23 14:37:30+00:00,ho-chennai,0,routing
2026-07-23 14:37:30+00:00,br-koramangala,0,routing
2026-07-23 14:37:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:38:00+00:00,br-koramangala,0,routing
2026-07-23 14:38:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:38:00+00:00,br-whitefield,0,routing
2026-07-23 14:38:00+00:00,ho-chennai,0,routing
2026-07-23 14:38:30+00:00,br-whitefield,0,routing
2026-07-23 14:38:30+00:00,ho-chennai,0,routing
2026-07-23 14:38:30+00:00,br-koramangala,0,routing
2026-07-23 14:38:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:39:00+00:00,br-koramangala,0,routing
2026-07-23 14:39:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:39:00+00:00,br-whitefield,0,routing
2026-07-23 14:39:00+00:00,ho-chennai,0,routing
2026-07-23 14:39:30+00:00,br-whitefield,0,routing
2026-07-23 14:39:30+00:00,ho-chennai,0,routing
2026-07-23 14:39:30+00:00,br-koramangala,0,routing
2026-07-23 14:39:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:40:00+00:00,br-koramangala,0,routing
2026-07-23 14:40:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:40:00+00:00,br-whitefield,0,routing
2026-07-23 14:40:00+00:00,ho-chennai,0,routing
2026-07-23 14:40:30+00:00,br-whitefield,0,routing
2026-07-23 14:40:30+00:00,ho-chennai,0,routing
2026-07-23 14:40:30+00:00,br-koramangala,0,routing
2026-07-23 14:40:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:41:00+00:00,br-koramangala,0,routing
2026-07-23 14:41:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:41:00+00:00,br-whitefield,0,routing
2026-07-23 14:41:00+00:00,ho-chennai,0,routing
2026-07-23 14:41:30+00:00,br-whitefield,0,routing
2026-07-23 14:41:30+00:00,ho-chennai,0,routing
2026-07-23 14:41:30+00:00,br-koramangala,0,routing
2026-07-23 14:41:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:42:00+00:00,br-koramangala,0,routing
2026-07-23 14:42:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:42:00+00:00,br-whitefield,0,routing
2026-07-23 14:42:00+00:00,ho-chennai,0,routing
2026-07-23 14:42:30+00:00,br-whitefield,0,routing
2026-07-23 14:42:30+00:00,ho-chennai,0,routing
2026-07-23 14:42:30+00:00,br-koramangala,0,routing
2026-07-23 14:42:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:43:00+00:00,br-koramangala,0,routing
2026-07-23 14:43:00+00:00,zo-bengaluru,0,routing
2026-07-23 14:43:00+00:00,br-whitefield,0,routing
2026-07-23 14:43:00+00:00,ho-chennai,0,routing
2026-07-23 14:43:30+00:00,br-whitefield,0,routing
2026-07-23 14:43:30+00:00,ho-chennai,0,routing
2026-07-23 14:43:30+00:00,zo-bengaluru,0,routing
2026-07-23 14:43:30+00:00,br-koramangala,0,routing
2026-07-24 10:09:00+00:00,br-koramangala,0,routing
2026-07-24 10:09:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:09:00+00:00,br-whitefield,0,routing
2026-07-24 10:09:00+00:00,ho-chennai,0,routing
2026-07-24 10:09:28+00:00,br-whitefield,0,routing
2026-07-24 10:09:28+00:00,ho-chennai,0,routing
2026-07-24 10:09:28+00:00,br-koramangala,0,routing
2026-07-24 10:09:28+00:00,zo-bengaluru,0,routing
2026-07-24 10:09:30+00:00,br-koramangala,0,routing
2026-07-24 10:09:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:09:30+00:00,br-whitefield,0,routing
2026-07-24 10:09:30+00:00,ho-chennai,0,routing
2026-07-24 10:28:13+00:00,br-whitefield,0,routing
2026-07-24 10:28:13+00:00,ho-chennai,0,routing
2026-07-24 10:28:13+00:00,br-koramangala,0,routing
2026-07-24 10:28:13+00:00,zo-bengaluru,0,routing
2026-07-24 10:28:31+00:00,br-koramangala,0,routing
2026-07-24 10:28:31+00:00,zo-bengaluru,0,routing
2026-07-24 10:28:31+00:00,br-whitefield,0,routing
2026-07-24 10:28:31+00:00,ho-chennai,0,routing
2026-07-24 10:29:00+00:00,br-whitefield,0,routing
2026-07-24 10:29:00+00:00,ho-chennai,0,routing
2026-07-24 10:29:00+00:00,br-koramangala,0,routing
2026-07-24 10:29:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:29:30+00:00,br-koramangala,0,routing
2026-07-24 10:29:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:29:30+00:00,br-whitefield,0,routing
2026-07-24 10:29:30+00:00,ho-chennai,0,routing
2026-07-24 10:30:00+00:00,br-whitefield,0,routing
2026-07-24 10:30:00+00:00,ho-chennai,0,routing
2026-07-24 10:30:00+00:00,br-koramangala,0,routing
2026-07-24 10:30:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:30:30+00:00,br-koramangala,0,routing
2026-07-24 10:30:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:30:30+00:00,br-whitefield,0,routing
2026-07-24 10:30:30+00:00,ho-chennai,0,routing
2026-07-24 10:31:00+00:00,br-whitefield,0,routing
2026-07-24 10:31:00+00:00,ho-chennai,0,routing
2026-07-24 10:31:00+00:00,br-koramangala,0,routing
2026-07-24 10:31:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:31:30+00:00,br-koramangala,0,routing
2026-07-24 10:31:30+00:00,zo-bengaluru,0,routing
2026-07-24 10:31:30+00:00,br-whitefield,0,routing
2026-07-24 10:31:30+00:00,ho-chennai,0,routing
2026-07-24 10:32:00+00:00,br-whitefield,0,routing
2026-07-24 10:32:00+00:00,ho-chennai,0,routing
2026-07-24 10:32:00+00:00,br-koramangala,0,routing
2026-07-24 10:32:00+00:00,zo-bengaluru,0,routing
2026-07-24 10:32:30+00:00,br-koramangala,0,routing
2026-07-24 10:32:30+00:00,zo-bengaluru,0,routing
