time,url,average_response_ms,percent_packet_loss,packets_transmitted,packets_received,router,metric_type
2026-07-23 14:22:30+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:22:30+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:22:30+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:22:30+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:22:48+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:22:48+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:22:48+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:22:48+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:23:00+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:23:00+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:23:00+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:23:00+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:23:20+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:23:20+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:23:20+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:23:20+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:23:40+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:23:40+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:23:40+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:23:40+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:24:00+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:24:00+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:24:00+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:24:00+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:24:20+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:24:20+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:24:20+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:24:20+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:24:40+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:24:40+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:24:40+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:24:40+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:25:00+00:00,172.20.20.3,,100,10,0,HO-Chennai,path_health
2026-07-23 14:25:00+00:00,172.20.20.7,,100,10,0,BR-Whitefield,path_health
2026-07-23 14:25:00+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
2026-07-23 14:25:00+00:00,172.20.20.5,,100,10,0,BR-Koramangala,path_health
2026-07-23 14:25:20+00:00,172.20.20.4,,100,10,0,ZO-Bengaluru,path_health
