time,url,average_response_ms,percent_packet_loss,packets_transmitted,packets_received,router,metric_type
2026-07-16 12:26:32+00:00,172.20.20.3,0.143,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:26:32+00:00,172.20.20.4,0.123,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:26:32+00:00,172.20.20.5,0.178,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:26:33+00:00,172.20.20.7,,100.0,3,0,BR-Whitefield,path_health
2026-07-16 12:26:42+00:00,172.20.20.5,0.08,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:26:42+00:00,172.20.20.4,0.122,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:26:42+00:00,172.20.20.3,0.122,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:26:43+00:00,172.20.20.7,,100.0,3,0,BR-Whitefield,path_health
2026-07-16 12:26:52+00:00,172.20.20.3,0.114,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:26:52+00:00,172.20.20.4,0.156,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:26:52+00:00,172.20.20.5,0.111,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:26:53+00:00,172.20.20.7,,100.0,3,0,BR-Whitefield,path_health
2026-07-16 12:27:02+00:00,172.20.20.5,0.091,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:02+00:00,172.20.20.4,0.134,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:02+00:00,172.20.20.3,0.127,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:03+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:27:12+00:00,172.20.20.3,0.179,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:12+00:00,172.20.20.4,0.107,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:12+00:00,172.20.20.5,0.123,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:13+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:27:22+00:00,172.20.20.5,0.121,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:22+00:00,172.20.20.4,0.095,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:22+00:00,172.20.20.3,0.12,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:23+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:27:32+00:00,172.20.20.3,0.122,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:32+00:00,172.20.20.4,0.117,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:32+00:00,172.20.20.5,0.123,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:33+00:00,172.20.20.7,,100.0,3,0,BR-Whitefield,path_health
2026-07-16 12:27:42+00:00,172.20.20.5,0.088,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:42+00:00,172.20.20.4,0.146,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:42+00:00,172.20.20.3,0.105,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:43+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:27:52+00:00,172.20.20.3,0.104,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:27:52+00:00,172.20.20.4,0.109,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:27:52+00:00,172.20.20.5,0.122,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:27:53+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:02+00:00,172.20.20.5,0.082,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:02+00:00,172.20.20.4,0.067,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:02+00:00,172.20.20.3,0.068,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:03+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:12+00:00,172.20.20.3,0.103,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:12+00:00,172.20.20.4,0.132,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:12+00:00,172.20.20.5,0.114,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:13+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:22+00:00,172.20.20.5,0.085,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:22+00:00,172.20.20.4,0.092,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:22+00:00,172.20.20.3,0.088,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:23+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:32+00:00,172.20.20.3,0.139,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:32+00:00,172.20.20.4,0.1,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:32+00:00,172.20.20.5,0.079,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:33+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:42+00:00,172.20.20.5,0.091,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:42+00:00,172.20.20.4,0.182,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:42+00:00,172.20.20.3,0.068,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:43+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:28:52+00:00,172.20.20.3,0.118,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:28:52+00:00,172.20.20.4,0.146,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:28:52+00:00,172.20.20.5,0.256,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:28:53+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:02+00:00,172.20.20.5,0.079,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:02+00:00,172.20.20.4,0.086,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:02+00:00,172.20.20.3,0.097,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:03+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:12+00:00,172.20.20.3,0.114,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:12+00:00,172.20.20.4,0.114,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:12+00:00,172.20.20.5,0.093,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:13+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:22+00:00,172.20.20.5,0.082,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:22+00:00,172.20.20.4,0.088,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:22+00:00,172.20.20.3,0.12,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:23+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:32+00:00,172.20.20.3,0.089,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:32+00:00,172.20.20.4,0.132,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:32+00:00,172.20.20.5,0.099,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:33+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:42+00:00,172.20.20.5,0.093,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:42+00:00,172.20.20.4,0.093,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:42+00:00,172.20.20.3,0.092,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:43+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:29:52+00:00,172.20.20.3,0.103,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:29:52+00:00,172.20.20.4,0.152,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:29:52+00:00,172.20.20.5,0.112,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:29:53+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:30:02+00:00,172.20.20.5,0.098,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:02+00:00,172.20.20.4,0.098,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:02+00:00,172.20.20.3,0.088,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:03+00:00,172.20.20.7,,100.0,3,0,BR-Whitefield,path_health
2026-07-16 12:30:12+00:00,172.20.20.3,0.122,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:12+00:00,172.20.20.4,0.09,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:12+00:00,172.20.20.5,0.124,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:13+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:30:22+00:00,172.20.20.5,0.076,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:22+00:00,172.20.20.4,0.073,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:22+00:00,172.20.20.3,0.089,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:23+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:30:32+00:00,172.20.20.3,0.113,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:32+00:00,172.20.20.4,0.199,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:32+00:00,172.20.20.5,0.1,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:33+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:30:42+00:00,172.20.20.5,0.088,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:42+00:00,172.20.20.4,0.123,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:42+00:00,172.20.20.3,0.087,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:43+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:30:52+00:00,172.20.20.3,0.107,0.0,3,3,HO-Chennai,path_health
2026-07-16 12:30:52+00:00,172.20.20.4,0.111,0.0,3,3,ZO-Bengaluru,path_health
2026-07-16 12:30:52+00:00,172.20.20.5,0.087,0.0,3,3,BR-Koramangala,path_health
2026-07-16 12:30:53+00:00,172.20.20.7,,100.0,4,0,BR-Whitefield,path_health
2026-07-16 12:31:02+00:00,172.20.20.5,0.074,0.0,3,3,BR-Koramangala,path_health
