time,router,count,metric_type
2026-07-16 12:26:30+00:00,br-koramangala,0,routing
2026-07-16 12:26:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:26:30+00:00,br-whitefield,0,routing
2026-07-16 12:26:30+00:00,ho-chennai,0,routing
2026-07-16 12:27:00+00:00,br-whitefield,0,routing
2026-07-16 12:27:00+00:00,ho-chennai,0,routing
2026-07-16 12:27:00+00:00,br-koramangala,0,routing
2026-07-16 12:27:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:27:30+00:00,br-koramangala,0,routing
2026-07-16 12:27:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:27:30+00:00,br-whitefield,0,routing
2026-07-16 12:27:30+00:00,ho-chennai,0,routing
2026-07-16 12:28:00+00:00,br-whitefield,0,routing
2026-07-16 12:28:00+00:00,ho-chennai,0,routing
2026-07-16 12:28:00+00:00,br-koramangala,0,routing
2026-07-16 12:28:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:28:30+00:00,br-koramangala,0,routing
2026-07-16 12:28:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:28:30+00:00,br-whitefield,0,routing
2026-07-16 12:28:30+00:00,ho-chennai,0,routing
2026-07-16 12:29:00+00:00,br-whitefield,0,routing
2026-07-16 12:29:00+00:00,ho-chennai,0,routing
2026-07-16 12:29:00+00:00,br-koramangala,0,routing
2026-07-16 12:29:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:29:30+00:00,br-koramangala,0,routing
2026-07-16 12:29:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:29:30+00:00,br-whitefield,0,routing
2026-07-16 12:29:30+00:00,ho-chennai,0,routing
2026-07-16 12:30:00+00:00,br-whitefield,0,routing
2026-07-16 12:30:00+00:00,ho-chennai,0,routing
2026-07-16 12:30:00+00:00,br-koramangala,0,routing
2026-07-16 12:30:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:30:30+00:00,br-koramangala,0,routing
2026-07-16 12:30:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:30:30+00:00,br-whitefield,0,routing
2026-07-16 12:30:30+00:00,ho-chennai,0,routing
2026-07-16 12:31:00+00:00,br-whitefield,0,routing
2026-07-16 12:31:00+00:00,ho-chennai,0,routing
2026-07-16 12:31:00+00:00,br-koramangala,0,routing
2026-07-16 12:31:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:31:30+00:00,br-koramangala,0,routing
2026-07-16 12:31:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:31:30+00:00,br-whitefield,0,routing
2026-07-16 12:31:30+00:00,ho-chennai,0,routing
2026-07-16 12:32:00+00:00,br-whitefield,0,routing
2026-07-16 12:32:00+00:00,ho-chennai,0,routing
2026-07-16 12:32:00+00:00,br-koramangala,0,routing
2026-07-16 12:32:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:32:30+00:00,br-koramangala,0,routing
2026-07-16 12:32:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:32:30+00:00,br-whitefield,0,routing
2026-07-16 12:32:30+00:00,ho-chennai,0,routing
2026-07-16 12:33:00+00:00,br-whitefield,0,routing
2026-07-16 12:33:00+00:00,ho-chennai,0,routing
2026-07-16 12:33:00+00:00,br-koramangala,0,routing
2026-07-16 12:33:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:33:30+00:00,br-koramangala,0,routing
2026-07-16 12:33:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:33:30+00:00,br-whitefield,0,routing
2026-07-16 12:33:30+00:00,ho-chennai,0,routing
2026-07-16 12:34:00+00:00,br-whitefield,0,routing
2026-07-16 12:34:00+00:00,ho-chennai,0,routing
2026-07-16 12:34:00+00:00,br-koramangala,0,routing
2026-07-16 12:34:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:34:30+00:00,br-koramangala,0,routing
2026-07-16 12:34:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:34:30+00:00,br-whitefield,0,routing
2026-07-16 12:34:30+00:00,ho-chennai,0,routing
2026-07-16 12:35:00+00:00,br-whitefield,0,routing
2026-07-16 12:35:00+00:00,ho-chennai,0,routing
2026-07-16 12:35:00+00:00,br-koramangala,0,routing
2026-07-16 12:35:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:35:30+00:00,br-koramangala,0,routing
2026-07-16 12:35:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:35:30+00:00,br-whitefield,0,routing
2026-07-16 12:35:30+00:00,ho-chennai,0,routing
2026-07-16 12:36:00+00:00,br-whitefield,0,routing
2026-07-16 12:36:00+00:00,ho-chennai,0,routing
2026-07-16 12:36:00+00:00,br-koramangala,0,routing
2026-07-16 12:36:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:36:30+00:00,br-koramangala,0,routing
2026-07-16 12:36:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:36:30+00:00,br-whitefield,0,routing
2026-07-16 12:36:30+00:00,ho-chennai,0,routing
2026-07-16 12:37:00+00:00,br-whitefield,0,routing
2026-07-16 12:37:00+00:00,ho-chennai,0,routing
2026-07-16 12:37:00+00:00,br-koramangala,0,routing
2026-07-16 12:37:00+00:00,zo-bengaluru,0,routing
2026-07-16 12:37:30+00:00,br-koramangala,0,routing
2026-07-16 12:37:30+00:00,zo-bengaluru,0,routing
2026-07-16 12:37:30+00:00,br-whitefield,0,routing
2026-07-16 12:37:30+00:00,ho-chennai,0,routing
2026-07-16 12:38:00+00:00,br-whitefield,0,routing
2026-07-16 12:38:00+00:00,ho-chennai,0,routing
